SPARKH,4,NYU LANGONE MEDICAL CENTER,20190415-113500,Sample 123-456-7890,NYU LANGONE MEDICAL CENTER,2,20190415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detail Record ID ,Employer Name ,Employer EIN ,Employer Plan ID  ,Employer Sub Plan ID ,Originating Vendor Plan ID,Originating Vendor Sub Plan ID ,Recipient Vendor Plan ID ,Recipient Vendor Sub Plan ID ,Type of Account ,Payroll Frequency ,Employee SSN,Employee ID,,FIRST NAME,MIDDLE NAME,LAST NAME,street,Apt/Suit,,state,short form,zipcode,Country,Residency Code ,Employee DOB ,Gender ID,Marital Status ,Phone Number 1 ,Phone Number type,Phone Number 1 ,Phone Number type,Phone Number 1 ,Phone Number type,Business Email Address ,Personal Email Address  ,Payroll Date,Contribution Source Code 1 ,Contribution Source Amount 1,Contribution Source Code 2,Contribution Source Amount 2,Contribution Source Code 3,Contribution Source Amount 3,Contribution Source Code 4,Contribution Source Amount 4,Contribution Source Code 5,Contribution Source Amount 5,Contribution Source Code 6,Contribution Source Amount 6,Contribution Source Code 7,Contribution Source Amount 7,Contribution Source Code 8,Contribution Source Amount 8,Final Contribution Indicator ,Loan Number 1 ,Loan Repayment Amount 1 ,Loan Number 2 ,Loan Repayment Amount 2 ,Loan Number 3 ,Loan Repayment Amount 3 ,Loan Number 4 ,Loan Repayment Amount 4 ,Loan Number 5 ,Loan Repayment Amount 5 ,HR Area,HR Sub Area ,Original Date of Hire ,Adjusted Date of Hire ,Employment Status ,Employment Sub Type,Employment Status Date ,Employee Type ,Payroll Mode ,Years of Service ,Months of Service ,Annual Salary ,Cash Bonus Amount ,Per Pay Compensation ,Per Pay Hours Worked ,Year to Date Type ,Year to Date Base Compensation,Year to Date Total Compensation,Year to Date Hours Worked,HCE Flag ,Key Employee Flag ,Union Employee Flag ,Employee Plan Status ,Plan Entry Date ,Vested Date ,Alternate Vesting Start Date ,Vesting Source Code 1 ,Vesting Percentage 1 ,Vesting Source Code 1 ,Vesting Percentage 1 ,Vesting Source Code 1 ,Vesting Percentage 1 ,"Contribution Source Code
1 ",Deferral Percentage Ð CS1,Per Pay Deferral Amount Ð CS1,"Contribution Source Code
1 ",Deferral Percentage Ð CS1,Per Pay Deferral Amount Ð CS1,"Contribution Source Code
1 ",Deferral Percentage Ð CS1,Per Pay Deferral Amount Ð CS1,Plan Annual Salary,Employer Contribution Eligibility Source 1,Employer Contribution Eligibility Date 1,Employer Contribution Eligibility Source 1,Employer Contribution Eligibility Date 1,Automatic Deferral Increase Type,Automatic Deferral Increase Election Date,Automatic Deferral Increase Next Increase Date,Automatic Deferral Increase End Date,Automatic Deferral Increase Frequency,Automatic Deferral Increase Amount,Automatic Deferral Increase Amount Maximum,Automatic Deferral Increase Percentage,Automatic Deferral Increase Percentage Maximum
D,NYU Langone Health System,47-2613531,151579,GS1,151579,GS1,151579,GS1,1,12,100000012,100000012,,Anthony,,Pratt,9388 Scott Expressway, , ,Port Keith,DC,11089,US,U,19901102,F,S, , , , , , ,Anthony.Pratt@example.org,,20190415,2,1677.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,20170601,20170601,D,N,20170601,L,12,2,,117625.23,,9802.1,,P,,,,N,,,E,,,,,,,,,,,,,,,,,,,,,,,,AUTO,,,,2,,,,
D,NYU Langone Health System,47-2613531,407140,GA1,407140,GA1,407140,GA1,1,12,100000013,100000013,,Christina,,Hartman,65564 Gregory Port,Suite 579, ,Curtismouth,CO,72869,US,U,19960310,F,M, , , , , , ,Christina.Hartman@example.org,,20190415,B,5633.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,20150103,20150103,P,M,20150103,T,12,4,,100583.86,,8381.99,,C,,,,Y,,,P,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,4,,,,
D,NYU Langone Health System,47-2613531,403401,GA1,403401,GA1,403401,GA1,1,12,100000014,100000014,,Vanessa,,Henderson,099 Jensen Key,Apt. 210, ,Douglasside,IA,72536,US,U,19920220,F,P, , , , , , ,Vanessa.Henderson@example.org,,20190415,B,3943.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,20170116,20170116,P,A,20170116,F,12,2,,70269.6,,5855.8,,P,,,,N,,,P,,,,,,,,,,,,,,,,,,,,,,,,AUTO,,,,4,,,,
D,NYU Langone Health System,47-2613531,151576,GA1,151576,GA1,151576,GA1,1,12,100000015,100000015,,John,,Torres,4254 Erik Views,Apt. 624, ,West Kyleberg,SD,41900,US,U,19971031,M,P, , , , , , ,John.Torres@example.org,,20190415,A,6643.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,20180216,20180216,E,R,20180216,L,12,1,,85119.1,,7093.26,,F,,,,N,,,P,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,1,,,,
D,NYU Hospitals Center,13-3971298,403400,GS1,403400,GS1,403400,GS1,1,12,100000016,100000016,,Frederick,,Beasley,3542 Charles Court, , ,Chavezberg,OH,38408,US,U,19920616,M,M, , , , , , ,Frederick.Beasley@example.org,,20190415,4,361.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,20121120,20121120,T,,20121120,F,12,7,,63966.92,,5330.58,,F,,,,Y,,,N,,,,,,,,,,,,,,,,,,,,,,,,OUT,,,,1,,,,
D,NYU Langone Health System,47-2613531,151562,GA1,151562,GA1,151562,GA1,1,12,100000017,100000017,,Danny,,Jones,720 Ramirez Station, , ,Richardfurt,ID,21073,US,U,19930725,M,P, , , , , , ,Danny.Jones@example.org,,20190415,2,7776.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,20120515,20120515,T,P,20120515,F,12,7,,102981.56,,8581.8,,F,,,,N,,,P,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,2,,,,
D,NYU Langone Health System,47-2613531,151562,GA1,151562,GA1,151562,GA1,1,12,100000018,100000018,,Barbara,,Johnson,0006 Zachary Motorway,Suite 128, ,Tracyside,IL,40975,US,U,19950518,M,S, , , , , , ,Barbara.Johnson@example.org,,20190415,A,3196.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,20130821,20130821,D,F,20130821,P,12,6,,116978.7,,9748.23,,F,,,,N,,,D,,,,,,,,,,,,,,,,,,,,,,,,SELF,,,,2,,,,
D,NYU Hospitals Center,13-3971298,407140,GA1,407140,GA1,407140,GA1,1,12,100000019,100000019,,Kerry,,Gilmore,322 Lloyd Ranch,Apt. 134, ,Juanstad,GA,78725,US,U,19971114,M,S, , , , , , ,Kerry.Gilmore@example.org,,20190415,G,5514.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,20180421,20180421,R,,20180421,P,12,1,,81686.23,,6807.19,,C,,,,N,,,X,,,,,,,,,,,,,,,,,,,,,,,,OUT,,,,1,,,,
D,NYU Langone Health System,47-2613531,151576,GS1,151576,GS1,151576,GS1,1,12,100000020,100000020,,Stephanie,,Myers,78786 Brown Burg,Apt. 038, ,Gonzalesfurt,NH,24656,US,U,19900628,M,S, , , , , , ,Stephanie.Myers@example.org,,20190415,E,635.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,20160407,20160407,L,,20160407,L,12,3,,109284.9,,9107.07,,C,,,,N,,,E,,,,,,,,,,,,,,,,,,,,,,,,SELF,,,,2,,,,
D,NYU Hospitals Center,13-3971298,407140,GA1,407140,GA1,407140,GA1,1,12,100000021,100000021,,Melissa,,Wilkins,60474 Julie Mall,Suite 779, ,Goldenfort,CT,1234,US,U,19900620,M,Q, , , , , , ,Melissa.Wilkins@example.org,,20190415,E,2091.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,20081007,20081007,P,R,20081007,T,12,11,,75925.73,,6327.14,,F,,,,N,,,E,,,,,,,,,,,,,,,,,,,,,,,,SELF,,,,2,,,,
D,NYU Langone Health System,47-2613531,151576,GS1,151576,GS1,151576,GS1,1,12,100000022,100000022,,Michael,,Rodriguez,2476 Ronald Cape,Apt. 815, ,Larsenchester,OH,87984,US,U,19990801,M,M, , , , , , ,Michael.Rodriguez@example.org,,20190415,G,2993.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,20170728,20170728,P,,20170728,L,12,2,,86030.73,,7169.23,,C,,,,Y,,,A,,,,,,,,,,,,,,,,,,,,,,,,SELF,,,,4,,,,
D,NYU School of Medicine,13-5562309,403401,GA1,403401,GA1,403401,GA1,1,12,100000023,100000023,,Natalie,,Medina,340 Holly Shores, , ,Pamelaview,AR,93698,US,U,19990403,F,S, , , , , , ,Natalie.Medina@example.org,,20190415,C,2910.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,20180131,20180131,E,P,20180131,L,12,1,,92782.18,,7731.85,,C,,,,Y,,,E,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,1,,,,
D,NYU Langone Health System,47-2613531,407141,GA1,407141,GA1,407141,GA1,1,12,100000024,100000024,,Lucas,,Kim,829 Shannon Knolls,Apt. 472, ,Port Michelle,AZ,22378,US,U,19900530,M,Q, , , , , , ,Lucas.Kim@example.org,,20190415,C,1430.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,20100205,20100205,L,,20100205,T,12,9,,110178.98,,9181.58,,F,,,,N,,,D,,,,,,,,,,,,,,,,,,,,,,,,AUTO,,,,2,,,,
D,NYU Langone Health System,47-2613531,407140,GA1,407140,GA1,407140,GA1,1,12,100000025,100000025,,Mary,,Murillo,10934 Louis Course, , ,North Karen,ND,39711,US,U,19910120,F,S, , , , , , ,Mary.Murillo@example.org,,20190415,B,1049.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,20110528,20110528,T,U,20110528,T,12,8,,93815.64,,7817.97,,P,,,,N,,,X,,,,,,,,,,,,,,,,,,,,,,,,AUTO,,,,2,,,,
D,NYU School of Medicine,13-5562309,403400,GA1,403400,GA1,403400,GA1,1,12,100000026,100000026,,Brian,,Garcia,8620 Chandler Forks,Apt. 554, ,Davisborough,TX,29169,US,U,19900801,F,Q, , , , , , ,Brian.Garcia@example.org,,20190415,C,114.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,20160715,20160715,T,A,20160715,F,12,3,,74122.93,,6176.91,,C,,,,Y,,,A,,,,,,,,,,,,,,,,,,,,,,,,AUTO,,,,1,,,,
D,NYU School of Medicine,13-5562309,407140,GA1,407140,GA1,407140,GA1,1,12,100000027,100000027,,Anthony,,Mathews,6566 Johnson Pass, , ,East Davidtown,WI,16366,US,U,19921001,F,P, , , , , , ,Anthony.Mathews@example.org,,20190415,2,5093.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140215,20140215,R,,20140215,T,12,5,,118364.12,,9863.68,,F,,,,Y,,,N,,,,,,,,,,,,,,,,,,,,,,,,SELF,,,,1,,,,
D,NYU Hospitals Center,13-3971298,151579,GS1,151579,GS1,151579,GS1,1,12,100000028,100000028,,Michael,,Martin,97970 Christopher Isle, , ,Millerborough,OH,55089,US,U,19980503,F,M, , , , , , ,Michael.Martin@example.org,,20190415,Q,8397.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,20180715,20180715,P,O,20180715,T,12,1,,131182.55,,10931.88,,F,,,,N,,,P,,,,,,,,,,,,,,,,,,,,,,,,AUTO,,,,2,,,,
D,NYU Hospitals Center,13-3971298,151562,GS1,151562,GS1,151562,GS1,1,12,100000029,100000029,,Susan,,Richardson,9333 Rivas Lodge, , ,East Lauren,CT,68295,US,U,19940812,F,P, , , , , , ,Susan.Richardson@example.org,,20190415,I,1330.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,20160311,20160311,T,I,20160311,T,12,3,,77638.2,,6469.85,,C,,,,N,,,E,,,,,,,,,,,,,,,,,,,,,,,,AUTO,,,,2,,,,
D,NYU Hospitals Center,13-3971298,151576,GA1,151576,GA1,151576,GA1,1,12,100000030,100000030,,William,,Collins,272 Alan Dale, , ,New Bobbyfort,OK,67961,US,U,19990901,F,M, , , , , , ,William.Collins@example.org,,20190415,Q,5671.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,20171209,20171209,L,R,20171209,T,12,2,,83142,,6928.5,,P,,,,N,,,A,,,,,,,,,,,,,,,,,,,,,,,,AUTO,,,,4,,,,
D,NYU School of Medicine,13-5562309,403400,GA1,403400,GA1,403400,GA1,1,12,100000031,100000031,,Ashley,,Mcguire,6444 Desiree River,Suite 483, ,Turnerstad,LA,98238,US,U,19911011,M,M, , , , , , ,Ashley.Mcguire@example.org,,20190415,Q,8662.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,20111105,20111105,E,,20111105,P,12,8,,105457.18,,8788.1,,P,,,,N,,,P,,,,,,,,,,,,,,,,,,,,,,,,SELF,,,,2,,,,
D,NYU School of Medicine,13-5562309,151579,GS1,151579,GS1,151579,GS1,1,12,100000032,100000032,,Michelle,,Williams,92850 Oneal Trafficway,Apt. 600, ,Deleonberg,OR,26576,US,U,19911219,M,S, , , , , , ,Michelle.Williams@example.org,,20190415,K,1762.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,20150226,20150226,E,,20150226,P,12,4,,89580.08,,7465.01,,F,,,,N,,,A,,,,,,,,,,,,,,,,,,,,,,,,AUTO,,,,2,,,,
D,NYU Hospitals Center,13-3971298,151562,GA1,151562,GA1,151562,GA1,1,12,100000033,100000033,,Ms.,,Danielle,517 Pamela Corner, , ,New Jenniferport,NC,7221,US,U,19920419,F,P, , , , , , ,Ms..Danielle@example.org,,20190415,A,1774.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,20180531,20180531,R,R,20180531,T,12,1,,58895.73,,4907.98,,F,,,,Y,,,N,,,,,,,,,,,,,,,,,,,,,,,,OUT,,,,2,,,,
D,NYU School of Medicine,13-5562309,151579,GS1,151579,GS1,151579,GS1,1,12,100000034,100000034,,Kenneth,,Allen,2166 Brian Mountains, , ,Howardstad,ND,84722,US,U,19990403,M,P, , , , , , ,Kenneth.Allen@example.org,,20190415,2,6191.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,20170622,20170622,P,I,20170622,T,12,2,,109381.88,,9115.16,,C,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,OUT,,,,1,,,,
D,NYU Hospitals Center,13-3971298,407141,GS1,407141,GS1,407141,GS1,1,12,100000035,100000035,,Lee,,Ortiz,47392 Williams Tunnel,Apt. 643, ,Herreraview,MI,64310,US,U,19920427,M,S, , , , , , ,Lee.Ortiz@example.org,,20190415,C,4468.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,20180517,20180517,T,R,20180517,P,12,1,,77351.97,,6446,,F,,,,N,,,X,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,4,,,,
D,NYU Hospitals Center,13-3971298,407141,GA1,407141,GA1,407141,GA1,1,12,100000036,100000036,,Mary,,Baird,27704 Christopher Landing, , ,Lake Edward,MO,94222,US,U,19911119,F,P, , , , , , ,Mary.Baird@example.org,,20190415,B,846.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,20170829,20170829,R,E,20170829,L,12,2,,76136.8,,6344.73,,F,,,,N,,,E,,,,,,,,,,,,,,,,,,,,,,,,SELF,,,,4,,,,
D,NYU Hospitals Center,13-3971298,403400,GS1,403400,GS1,403400,GS1,1,12,100000037,100000037,,Tina,,Vang,83740 Yolanda Village,Suite 282, ,Andrewmouth,NC,46098,US,U,19990731,F,P, , , , , , ,Tina.Vang@example.org,,20190415,B,5861.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,20171230,20171230,R,P,20171230,T,12,2,,107643.82,,8970.32,,P,,,,Y,,,N,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,2,,,,
D,NYU Hospitals Center,13-3971298,151562,GS1,151562,GS1,151562,GS1,1,12,100000038,100000038,,Kevin,,Martinez,39252 Cohen Turnpike, , ,North Michelleport,IL,96644,US,U,19900614,M,M, , , , , , ,Kevin.Martinez@example.org,,20190415,A,2608.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,20121225,20121225,T,F,20121225,L,12,7,,51015.22,,4251.27,,F,,,,Y,,,D,,,,,,,,,,,,,,,,,,,,,,,,SELF,,,,2,,,,
D,NYU Hospitals Center,13-3971298,407140,GS1,407140,GS1,407140,GS1,1,12,100000039,100000039,,Justin,,Smith,611 Wilson Valleys, , ,South Crystalburgh,DC,98957,US,U,19970201,M,Q, , , , , , ,Justin.Smith@example.org,,20190415,B,5145.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,20180423,20180423,L,,20180423,F,12,1,,123231.69,,10269.31,,P,,,,Y,,,X,,,,,,,,,,,,,,,,,,,,,,,,OUT,,,,2,,,,
D,NYU Hospitals Center,13-3971298,151576,GS1,151576,GS1,151576,GS1,1,12,100000040,100000040,,Andrew,,Jacobs,6903 Alicia Hills,Suite 911, ,East Brianborough,NE,59656,US,U,19931012,F,M, , , , , , ,Andrew.Jacobs@example.org,,20190415,E,3369.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,20110527,20110527,D,,20110527,F,12,8,,86489.71,,7207.48,,P,,,,N,,,D,,,,,,,,,,,,,,,,,,,,,,,,SELF,,,,1,,,,
D,NYU Hospitals Center,13-3971298,403400,GS1,403400,GS1,403400,GS1,1,12,100000041,100000041,,Carolyn,,Scott,99639 Johnson Knoll, , ,Justinside,MS,3782,US,U,19930216,M,P, , , , , , ,Carolyn.Scott@example.org,,20190415,Q,1829.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,20110222,20110222,R,V,20110222,T,12,8,,51262.24,,4271.85,,C,,,,Y,,,N,,,,,,,,,,,,,,,,,,,,,,,,AUTO,,,,4,,,,
D,NYU School of Medicine,13-5562309,407141,GA1,407141,GA1,407141,GA1,1,12,100000042,100000042,,James,,Ryan,059 Pearson Orchard, , ,Reynoldsburgh,OH,16594,US,U,19920429,M,P, , , , , , ,James.Ryan@example.org,,20190415,2,3387.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,20180220,20180220,R,,20180220,T,12,1,,88871.24,,7405.94,,P,,,,N,,,P,,,,,,,,,,,,,,,,,,,,,,,,AUTO,,,,4,,,,
D,NYU Langone Health System,47-2613531,403400,GS1,403400,GS1,403400,GS1,1,12,100000043,100000043,,Nicholas,,Reese,89455 Donna Heights, , ,Mackhaven,VT,88955,US,U,19931211,M,M, , , , , , ,Nicholas.Reese@example.org,,20190415,A,2372.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,20161228,20161228,R,,20161228,L,12,3,,69090.48,,5757.54,,F,,,,Y,,,D,,,,,,,,,,,,,,,,,,,,,,,,SELF,,,,2,,,,
D,NYU School of Medicine,13-5562309,407140,GA1,407140,GA1,407140,GA1,1,12,100000044,100000044,,Meredith,,Green,21225 Kenneth Spring,Apt. 856, ,Maureenport,ND,31072,US,U,19960607,M,Q, , , , , , ,Meredith.Green@example.org,,20190415,I,2669.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140609,20140609,D,,20140609,L,12,5,,65731.12,,5477.59,,F,,,,Y,,,N,,,,,,,,,,,,,,,,,,,,,,,,AUTO,,,,1,,,,
D,NYU Hospitals Center,13-3971298,151576,GA1,151576,GA1,151576,GA1,1,12,100000045,100000045,,Greg,,Whitehead,0334 Michael Crest, , ,Lake Melissa,DC,84657,US,U,19920830,M,S, , , , , , ,Greg.Whitehead@example.org,,20190415,C,1013.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,20150128,20150128,P,E,20150128,P,12,4,,59264.22,,4938.69,,P,,,,Y,,,X,,,,,,,,,,,,,,,,,,,,,,,,SELF,,,,4,,,,
