SPARKH,4,NYU LANGONE MEDICAL CENTER,20190415-113500,Sample 123-456-7890,NYU LANGONE MEDICAL CENTER,2,20190415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detail Record ID ,Employer Name ,Employer EIN ,Employer Plan ID  ,Employer Sub Plan ID ,Originating Vendor Plan ID,Originating Vendor Sub Plan ID ,Recipient Vendor Plan ID ,Recipient Vendor Sub Plan ID ,Type of Account ,Payroll Frequency ,Employee SSN,Employee ID,,FIRST NAME,MIDDLE NAME,LAST NAME,street,Apt/Suit,,City,State,zipcode,Country,Residency Code ,Employee DOB ,Gender ID,Marital Status ,Phone Number 1 ,Phone Number type 1,Phone Extension 1,Phone Number type 2,Phone Number 2,Phone Extension 2,Business Email Address ,Personal Email Address  ,Payroll Date,Contribution Source Code 1 ,Contribution Source Amount 1,Contribution Source Code 2,Contribution Source Amount 2,Contribution Source Code 3,Contribution Source Amount 3,Contribution Source Code 4,Contribution Source Amount 4,Contribution Source Code 5,Contribution Source Amount 5,Contribution Source Code 6,Contribution Source Amount 6,Contribution Source Code 7,Contribution Source Amount 7,Contribution Source Code 8,Contribution Source Amount 8,Final Contribution Indicator ,Loan Number 1 ,Loan Repayment Amount 1 ,Loan Number 2 ,Loan Repayment Amount 2 ,Loan Number 3 ,Loan Repayment Amount 3 ,Loan Number 4 ,Loan Repayment Amount 4 ,Loan Number 5 ,Loan Repayment Amount 5 ,HR Area,HR Sub Area ,Original Date of Hire ,Adjusted Date of Hire ,Employment Status ,Employment Sub Type,Employment Status Date ,Employee Type ,Payroll Mode ,Years of Service ,Months of Service ,Annual Salary ,Cash Bonus Amount ,Per Pay Compensation ,Per Pay Hours Worked ,Year to Date Type ,Year to Date Base Compensation,Year to Date Total Compensation,Year to Date Hours Worked,HCE Flag ,Key Employee Flag ,Union Employee Flag ,Employee Plan Status ,Plan Entry Date ,Vested Date ,Alternate Vesting Start Date ,Vesting Source Code 1 ,Vesting Percentage 1 ,Vesting Source Code 2,Vesting Percentage 2,Vesting Source Code 3,Vesting Percentage 3,"Contribution Source Code
1 ",cc,Per Pay Deferral Amount Ð CS1,"Contribution Source Code
2",Deferral Percentage Ð CS2,Per Pay Deferral Amount Ð CS2,"Contribution Source Code
3",Deferral Percentage Ð CS3,Per Pay Deferral Amount Ð CS3,Plan Annual Salary,Employer Contribution Eligibility Source 1,Employer Contribution Eligibility Date 1,Employer Contribution Eligibility Source 2,Employer Contribution Eligibility Date 2,Automatic Deferral Increase Type,Automatic Deferral Increase Election Date,Automatic Deferral Increase Next Increase Date,Automatic Deferral Increase End Date,Automatic Deferral Increase Frequency,Automatic Deferral Increase Amount,Automatic Deferral Increase Amount Maximum,Automatic Deferral Increase Percentage,Automatic Deferral Increase Percentage Maximum
D,NYU Langone Health System,47-2613531,151576,GS1,151576,GS1,151576,GS1,1,12,100000011,100000011,,Christopher,,Lowery,342 Jasmine Locks, , ,"New Travis,",DE,73528,US,U,19950206,M,M, , , , , , ,Christopher.Lowery@example.org,,20190415,B,5199.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,20180318,20180318,P, ,20180318,L,12,1,,79079.89,,6589.99,,F,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,SELF,,,,1,,,-,
D,NYU Langone Health System,47-2613531,407141,GS1,407141,GS1,407141,GS1,1,12,100000012,100000012,,Maria,,Gutierrez,257 Nicole Springs Apt. 051, , ,"Theresaside,",VT,89972,US,U,19910406,F,Q, , , , , , ,Maria.Gutierrez@example.org,,20190415,H,8337.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,20160203,20160203,T, ,20160203,L,12,3,,114978.28,,9581.52,,P,,,,N,,,X,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,2,,,-,
D,NYU School of Medicine,13-5562309,403401,GA1,403401,GA1,403401,GA1,1,12,100000013,100000013,,Michael,,Johnson,2467 Kyle Lane, , ,"Amandamouth,",PA,14926,US,U,19970721,F,Q, , , , , , ,Michael.Johnson@example.org,,20190415,2,1230.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,20180220,20180220,D, ,20180220,P,12,1,,92400.6,,7700.05,,F,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,1,,,-,
D,NYU Langone Health System,47-2613531,151562,GS1,151562,GS1,151562,GS1,1,12,100000014,100000014,,Devin,,Henry,676 David Way, , ,"Lewisland,",OH,39957,US,U,19940219,F,M, , , , , , ,Devin.Henry@example.org,,20190415,B,6245.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,20131219,20131219,L, ,20131219,P,12,6,,94483.58,,7873.63,,C,,,,Y,,,A,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,1,,,-,
D,NYU Langone Health System,47-2613531,407140,GA1,407140,GA1,407140,GA1,1,12,100000015,100000015,,John,,Moreno,2336 Rowe Fords, , ,"Lake Daniellestad,",IN,15105,US,U,19940625,F,Q, , , , , , ,John.Moreno@example.org,,20190415,K,633.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,20150319,20150319,L, ,20150319,P,12,4,,98532.48,,8211.04,,P,,,,Y,,,N,,,,,,,,,,,,,,,,,,,,,,,,OUT,,,,4,,,-,
D,NYU Hospitals Center,13-3971298,403400,GS1,403400,GS1,403400,GS1,1,12,100000016,100000016,,Cody,,Wood,66261 Delgado Station, , ,"Lake Jeffrey,",OR,74516,US,U,19931023,F,S, , , , , , ,Cody.Wood@example.org,,20190415,4,5467.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,20131120,20131120,T,O,20131120,L,12,6,,113855.35,,9487.95,,F,,,,N,,,D,,,,,,,,,,,,,,,,,,,,,,,,OUT,,,,2,,,-,
D,NYU Hospitals Center,13-3971298,151562,GA1,151562,GA1,151562,GA1,1,12,100000017,100000017,,Miranda,,Ramos,853 Thomas Trail, , ,"Marissaville,",FL,73635,US,U,19900916,M,Q, , , , , , ,Miranda.Ramos@example.org,,20190415,B,2744.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140529,20140529,D, ,20140529,L,12,5,,56423.08,,4701.92,,C,,,,N,,,P,,,,,,,,,,,,,,,,,,,,,,,,OUT,,,,1,,,-,
D,NYU Langone Health System,47-2613531,403401,GS1,403401,GS1,403401,GS1,1,12,100000018,100000018,,Gary,,Thornton,282 Hernandez Ramp, , ,"New Karen,",ND,77988,US,U,19920525,F,M, , , , , , ,Gary.Thornton@example.org,,20190415,A,2828.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,20130320,20130320,P, ,20130320,L,12,6,,58942.44,,4911.87,,C,,,,N,,,D,,,,,,,,,,,,,,,,,,,,,,,,OUT,,,,1,,,-,
D,NYU School of Medicine,13-5562309,151579,GA1,151579,GA1,151579,GA1,1,12,100000019,100000019,,Trace,,Tracy,94234 Lopez Vista, , ,"Oconnorland,",HI,69652,US,U,19920316,F,Q, , , , , , ,Mrs..Tracy@example.org,,20190415,4,5900.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,20120706,20120706,R, ,20120706,P,12,7,,86706.65,,7225.55,,C,,,,Y,,,P,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,1,,,-,
D,NYU School of Medicine,13-5562309,403400,GS1,403400,GS1,403400,GS1,1,12,100000020,100000020,,Heather,,Pamela,00486 Shepard Key Apt. 401, , ,"Benjaminstad,",WA,99410,US,U,19980926,F,Q, , , , , , ,Mrs..Pamela@example.org,,20190415,E,7396.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,20180214,20180214,T, ,20180214,L,12,1,,138281.59,,11523.47,,P,,,,Y,,,D,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,1,,,-,
D,NYU Hospitals Center,13-3971298,151576,GA1,151576,GA1,151576,GA1,1,12,100000021,100000021,,Angela,,Wall,8076 Grace Throughway, , ,"West Kevinmouth,",VA,10359,US,U,19980620,M,S, , , , , , ,Angela.Wall@example.org,,20190415,H,3547.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,20170506,20170506,P, ,20170506,F,12,2,,94124.24,,7843.69,,F,,,,Y,,,N,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,2,,,-,
D,NYU Hospitals Center,13-3971298,151579,GA1,151579,GA1,151579,GA1,1,12,100000022,100000022,,John,,Joseph,55044 Carpenter Brooks, , ,"East Jason,",UT,7977,US,U,19940707,F,S, , , , , , ,Mr..Joseph@example.org,,20190415,4,4906.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,20141108,20141108,T, ,20141108,P,12,5,,62729.18,,5227.43,,F,,,,Y,,,N,,,,,,,,,,,,,,,,,,,,,,,,SELF,,,,2,,,-,
D,NYU Hospitals Center,13-3971298,403400,GS1,403400,GS1,403400,GS1,1,12,100000023,100000023,,Cindy,,Huff,7581 George Mountain,Suite 839, ,"West Richard,",PA,6581,US,U,19960604,F,Q, , , , , , ,Cindy.Huff@example.org,,20190415,I,429.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,20140624,20140624,E,F,20140624,F,12,5,,121121.35,,10093.45,,P,,,,N,,,P,,,,,,,,,,,,,,,,,,,,,,,,OUT,,,,4,,,-,
D,NYU School of Medicine,13-5562309,407140,GA1,407140,GA1,407140,GA1,1,12,100000024,100000024,,Christopher,,Guerra,40676 Laura Oval,Suite 810, ,"Melissaberg,",AL,39567,US,U,19930801,F,Q, , , , , , ,Christopher.Guerra@example.org,,20190415,K,590.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,20160306,20160306,T, ,20160306,F,12,3,,121430.95,,10119.25,,F,,,,Y,,,E,,,,,,,,,,,,,,,,,,,,,,,,AUTO,,,,1,,,-,
D,NYU Langone Health System,47-2613531,403401,GA1,403401,GA1,403401,GA1,1,12,100000025,100000025,,Christine,,Ayala,1759 Kelly Islands, , ,"Jacksonberg,",WV,19574,US,U,19920614,M,S, , , , , , ,Christine.Ayala@example.org,,20190415,G,2445.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,20110207,20110207,E, ,20110207,P,12,8,,53335.63,,4444.64,,P,,,,N,,,A,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,2,,,-,
D,NYU Langone Health System,47-2613531,403400,GA1,403400,GA1,403400,GA1,1,12,100000026,100000026,,David,,Fuentes,USNV Ferguson, , ,FPO,AA,50327,US,U,19931225,F,M, , , , , , ,David.Fuentes@example.org,,20190415,4,4582.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,20120401,20120401,E, ,20120401,T,12,7,,112675.78,,9389.65,,C,,,,N,,,X,,,,,,,,,,,,,,,,,,,,,,,,SELF,,,,1,,,-,
D,NYU Langone Health System,47-2613531,403401,GA1,403401,GA1,403401,GA1,1,12,100000027,100000027,,Cameron,,Schmitt,8008 Belinda Land,Suite 980, ,"West William,",ND,61752,US,U,19920522,M,Q, , , , , , ,Cameron.Schmitt@example.org,,20190415,2,8724.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,20171202,20171202,T,N,20171202,P,12,2,,107750.23,,8979.19,,F,,,,Y,,,D,,,,,,,,,,,,,,,,,,,,,,,,AUTO,,,,2,,,-,
D,NYU Langone Health System,47-2613531,403401,GA1,403401,GA1,403401,GA1,1,12,100000028,100000028,,Scott,,Higgins,7871 Alec Port Apt. 948, , ,"New Richard,",RI,21953,US,U,19930804,F,Q, , , , , , ,Scott.Higgins@example.org,,20190415,B,9729.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,20121103,20121103,R,R,20121103,P,12,7,,118804.12,,9900.34,,C,,,,N,,,X,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,2,,,-,
D,NYU Hospitals Center,13-3971298,151562,GS1,151562,GS1,151562,GS1,1,12,100000029,100000029,,Natasha,,Barry,679 Veronica Inlet Apt. 111, , ,"New Theresa,",MT,14845,US,U,19920528,F,Q, , , , , , ,Natasha.Barry@example.org,,20190415,Q,4044.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,20110526,20110526,T, ,20110526,F,12,8,,84115.55,,7009.63,,P,,,,N,,,D,,,,,,,,,,,,,,,,,,,,,,,,AUTO,,,,4,,,-,
D,NYU Langone Health System,47-2613531,151576,GA1,151576,GA1,151576,GA1,1,12,100000030,100000030,,Robert,,Vazquez,9759 Gilmore Divide, , ,"Rebeccatown,",NM,46869,US,U,19961019,M,M, , , , , , ,Robert.Vazquez@example.org,,20190415,Q,1784.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,20151202,20151202,E,O,20151202,F,12,4,,58652.09,,4887.67,,C,,,,Y,,,D,,,,,,,,,,,,,,,,,,,,,,,,OUT,,,,2,,,-,
D,NYU School of Medicine,13-5562309,403401,GA1,403401,GA1,403401,GA1,1,12,100000031,100000031,,Terry,,Pacheco,3630 Nicole Mountain Apt. 727, , ,"Wyattville,",NC,13064,US,U,19950525,F,S, , , , , , ,Terry.Pacheco@example.org,,20190415,E,2103.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,20160315,20160315,T,N,20160315,T,12,3,,68726.08,,5727.17,,F,,,,N,,,E,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,2,,,-,
D,NYU Langone Health System,47-2613531,407141,GS1,407141,GS1,407141,GS1,1,12,100000032,100000032,,Daniel,,Mcguire,4943 Jason Locks Apt. 026, , ,"South Ericburgh,",NC,92655,US,U,19910401,F,P, , , , , , ,Daniel.Mcguire@example.org,,20190415,Q,1456.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,20120722,20120722,R,F,20120722,F,12,7,,92793.64,,7732.8,,F,,,,N,,,N,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,1,,,-,
D,NYU School of Medicine,13-5562309,403400,GS1,403400,GS1,403400,GS1,1,12,100000033,100000033,,Rebecca,,Cook,484 Martin Garden, , ,"East Amanda,",OR,41021,US,U,19920328,F,S, , , , , , ,Rebecca.Cook@example.org,,20190415,Q,6142.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,20131108,20131108,T,A,20131108,F,12,6,,114483.61,,9540.3,,C,,,,Y,,,N,,,,,,,,,,,,,,,,,,,,,,,,AUTO,,,,2,,,-,
D,NYU Hospitals Center,13-3971298,151576,GA1,151576,GA1,151576,GA1,1,12,100000034,100000034,,Kayla,,Miller,410 Mitchell Lights,Suite 799, ,"Port Benjamin,",NY,48670,US,U,19901117,M,P, , , , , , ,Kayla.Miller@example.org,,20190415,Q,1209.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,20160730,20160730,L,P,20160730,F,12,3,,123085.25,,10257.1,,F,,,,Y,,,N,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,1,,,-,
D,NYU School of Medicine,13-5562309,407140,GA1,407140,GA1,407140,GA1,1,12,100000035,100000035,,Michael,,Richmond,2079 Franklin Garden Apt. 291, , ,"Edwardhaven,",NY,21687,US,U,19940412,F,Q, , , , , , ,Michael.Richmond@example.org,,20190415,B,2441.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,20171228,20171228,T,R,20171228,F,12,2,,72616.98,,6051.41,,P,,,,N,,,P,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,2,,,-,
D,NYU Hospitals Center,13-3971298,407141,GA1,407141,GA1,407141,GA1,1,12,100000036,100000036,,Jaclyn,,Miller,42988 Edwin Stream,Suite 079, ,"West Dawn,",OK,20706,US,U,19940903,M,P, , , , , , ,Jaclyn.Miller@example.org,,20190415,G,9032.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,20120604,20120604,P,A,20120604,L,12,7,,138728.97,,11560.75,,P,,,,Y,,,A,,,,,,,,,,,,,,,,,,,,,,,,AUTO,,,,4,,,-,
D,NYU Langone Health System,47-2613531,151562,GS1,151562,GS1,151562,GS1,1,12,100000037,100000037,,Jennifer,,Bates,1982 Edwin Bridge, , ,"New Richard,",IA,77948,US,U,19911128,F,M, , , , , , ,Jennifer.Bates@example.org,,20190415,4,3101.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,20160817,20160817,L, ,20160817,T,12,3,,80360.47,,6696.71,,C,,,,N,,,X,,,,,,,,,,,,,,,,,,,,,,,,SELF,,,,2,,,-,
D,NYU Hospitals Center,13-3971298,407141,GS1,407141,GS1,407141,GS1,1,12,100000038,100000038,,Michael,,Santos,Unit 0090,Apt 7294, ,DPO,AE,40186,US,U,19980507,M,Q, , , , , , ,Michael.Santos@example.org,,20190415,A,3023.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,20171222,20171222,E,E,20171222,L,12,2,,103763.9,,8646.99,,P,,,,Y,,,X,,,,,,,,,,,,,,,,,,,,,,,,SELF,,,,1,,,-,
D,NYU School of Medicine,13-5562309,407140,GA1,407140,GA1,407140,GA1,1,12,100000039,100000039,,Nathan,,Nunez,05706 Cunningham Crest, , ,"South Deannashire,",AK,91698,US,U,19911025,M,Q, , , , , , ,Nathan.Nunez@example.org,,20190415,K,3086.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,20170502,20170502,R, ,20170502,F,12,2,,73799.44,,6149.95,,P,,,,N,,,P,,,,,,,,,,,,,,,,,,,,,,,,AUTO,,,,2,,,-,
D,NYU Langone Health System,47-2613531,407141,GA1,407141,GA1,407141,GA1,1,12,100000040,100000040,,Daniel,,Burton,626 Rachael Drives, , ,"North Reneeview,",WY,53725,US,U,19980130,F,M, , , , , , ,Daniel.Burton@example.org,,20190415,G,1145.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,20181212,20181212,R,O,20181212,L,12,1,,138828.11,,11569.01,,P,,,,Y,,,P,,,,,,,,,,,,,,,,,,,,,,,,SELF,,,,1,,,-,
D,NYU School of Medicine,13-5562309,151576,GS1,151576,GS1,151576,GS1,1,12,100000041,100000041,,Rhonda,,Wiley,548 Zhang Pass, , ,"Port Aaron,",CT,53506,US,U,19990615,F,Q, , , , , , ,Rhonda.Wiley@example.org,,20190415,Q,2276.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,20181103,20181103,E, ,20181103,P,12,1,,129195.32,,10766.28,,C,,,,Y,,,D,,,,,,,,,,,,,,,,,,,,,,,,AUTO,,,,2,,,-,
D,NYU Langone Health System,47-2613531,151562,GA1,151562,GA1,151562,GA1,1,12,100000042,100000042,,Amber,,Singleton,9273 Sanford Ranch, , ,"Davidmouth,",NE,60797,US,U,19920503,F,P, , , , , , ,Amber.Singleton@example.org,,20190415,2,1047.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,20160814,20160814,D,U,20160814,T,12,3,,60234.89,,5019.57,,C,,,,Y,,,D,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,1,,,-,
D,NYU Hospitals Center,13-3971298,407140,GA1,407140,GA1,407140,GA1,1,12,100000043,100000043,,Jacob,,Preston,360 Mitchell Keys, , ,"North Randallview,",PA,52961,US,U,19961208,M,M, , , , , , ,Jacob.Preston@example.org,,20190415,B,3804.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,20180120,20180120,L,R,20180120,F,12,1,,109540.67,,9128.39,,P,,,,Y,,,D,,,,,,,,,,,,,,,,,,,,,,,,OUT,,,,1,,,-,
D,NYU Hospitals Center,13-3971298,403401,GS1,403401,GS1,403401,GS1,1,12,100000044,100000044,,Elizabeth,,Greene,03867 Herrera Spurs,Suite 949, ,"Kimburgh,",MS,47081,US,U,19970205,M,M, , , , , , ,Elizabeth.Greene@example.org,,20190415,2,1420.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,20171028,20171028,L,A,20171028,P,12,2,,137409.45,,11450.79,,F,,,,Y,,,P,,,,,,,,,,,,,,,,,,,,,,,,SELF,,,,1,,,-,
